"Time(s)", "Thrust (N)"
0.031913,1008.12
0.031946,1018.56
0.031979,1018.56
0.032013,1021.8
0.032047,1021.8
0.032079,1021.8
0.032113,1006.56
0.032147,972.12
0.03218,972.12
0.032212,967.2
0.032246,967.2
0.03228,955.32
0.032314,950.4
0.032347,934.92
0.032381,932.4
0.032414,902.64
0.032447,897.36
0.032481,896.76
0.032514,853.44
0.032547,853.44
0.032581,848.64
0.032614,840.12
0.032652,824.76
0.03268,797.28
0.032714,770.76
0.032748,768.48
0.032781,758.16
0.032815,758.16
0.032848,758.16
0.032881,682.68
0.032915,667.68
0.032949,667.68
0.032982,643.32
0.033015,640.8
0.033049,636
0.033082,633.84
0.033116,612.6
0.033149,591.48
0.033182,570.72
0.033216,566.28
0.033249,566.04
0.033283,511.8
0.033316,511.8
0.033352,501.6
0.033383,514.92
0.033417,501.6
0.03345,494.76
0.033483,494.76
0.033516,575.52
0.03355,575.52
0.033584,559.32
0.033616,559.32
0.033656,563.76
0.033682,590.76
0.033717,609.72
0.03376,609.72
0.033795,579.96
0.033828,575.16
0.033862,557.76
0.033895,543.84
0.033929,543.84
0.033963,543.84
0.033995,533.64
0.034029,520.68
0.034062,496.32
0.034096,483.6
0.03413,476.04
0.034162,472.68
0.034196,449.4
0.03423,449.4
0.034263,413.4
0.034297,413.4
0.03433,370.68
0.034363,362.28
0.034397,362.28
0.03443,461.04
0.034463,481.44
0.034495,491.88
0.03453,651
0.034564,773.16
0.034597,867.36
0.03463,913.2
0.034664,940.92
0.034697,940.92
0.034731,1004.4
0.034764,1029.48
0.034797,1042.92
0.034831,1053.48
0.034865,1053.48
0.034898,1030.68
0.034931,1030.68
0.034965,1032.6
0.034998,1058.76
0.035032,1058.76
0.035064,1026
0.035098,1026
0.035132,1027.68
0.035165,1027.68
0.035199,997.68
0.035232,997.68
0.035265,1004.76
0.035299,1004.76
0.035333,1002.36
0.035365,990
0.035399,986.64
0.035432,990
0.035466,990.24
0.0355,990.24
0.035532,984.6
0.035566,949.2
0.0356,948.12
0.035636,948.12
0.035664,960.72
0.035699,969.24
0.035733,960.72
0.035767,952.8
0.0358,929.16
0.035833,929.16
0.035867,951.36
0.0359,995.88
0.035934,995.88
0.035968,934.92
0.036,934.92
0.036034,957.6
0.036067,1004.88
0.036101,1004.88
0.036135,997.8
0.036167,955.8
0.036201,955.8
0.036235,983.52
0.036268,992.16
0.036301,992.16
0.036335,986.52
0.036368,986.52
0.036402,1024.44
0.036435,1024.44
0.036468,1002.84
0.036502,986.28
0.036535,983.16
0.036571,974.76
0.036602,962.52
0.036635,950.88
0.036669,944.76
0.036702,942
0.036736,942
0.036772,975.84
0.036801,975.84
0.036836,958.8
0.03687,958.8
0.036903,973.32
0.036936,973.32
0.03697,966.84
0.037003,947.28
0.037037,947.28
0.03707,951.6
0.037103,982.44
0.037137,993
0.03717,1001.4
0.037204,1012.8
0.037237,1012.8
0.03727,1007.88
0.037304,1001.16
0.037338,1001.16
0.03737,1001.16
0.037404,972.96
0.037437,965.16
0.037473,965.16
0.037516,965.64
0.037549,966.6
0.037582,966.6
0.037615,966.6
0.037649,971.52
0.037683,977.4
0.037716,990
0.037749,991.2
0.037783,991.2
0.037816,991.32
0.03785,1000.68
0.037883,1000.68
0.037916,985.8
0.037948,985.8
0.037983,1011
0.038017,1011
0.03805,1005.72
0.038083,973.44
0.038117,966.6
0.038151,973.44
0.038184,1009.32
0.038217,1009.32
0.038251,964.2
0.038284,960.96
0.038318,960.96
0.03835,960.96
0.038388,939.36
0.038416,939.36
0.038451,953.76
0.038489,953.76
0.038516,953.76
0.038551,986.88
0.038585,993.12
0.038619,1026.84
0.038651,993.12
0.038685,987.72
0.038718,930.84
0.038752,930.84
0.038786,1008.84
0.038818,1008.84
0.038852,979.92
0.038886,979.92
0.038919,979.92
0.038953,961.44
0.038985,961.44
0.039019,984.6
0.039053,984.6
0.039085,961.08
0.039119,961.08
0.039153,981.84
0.039186,981.84
0.03922,938.04
0.039254,930.84
0.039286,929.76
0.03932,929.76
0.039353,936.24
0.039391,961.56
0.039418,974.76
0.039453,974.76
0.039487,939.12
0.039521,939.12
0.039554,948.96
0.039587,980.4
0.039621,982.44
0.039654,990.36
0.039688,990.36
0.039721,969.48
0.039754,969.48
0.039788,998.76
0.039821,998.76
0.039855,971.88
0.039888,971.88
0.039921,991.56
0.039955,1014.84
0.039988,1014.84
0.040022,984
0.040055,984
0.040088,998.04
0.040122,1021.44
0.040156,1021.44
0.040189,990.6
0.04022,990.6
0.040255,1011.24
0.040289,1018.32
0.040323,1018.32
0.040355,1018.32
0.040391,1014.84
0.040423,1014.84
0.040456,999.96
0.040492,952.08
0.040523,952.08
0.040556,946.92
0.04059,946.92
0.040623,927.12
0.040656,927.12
0.04069,1006.44
0.040723,1006.44
0.040757,977.64
0.040791,977.64
0.040823,990.36
0.040857,1023.84
0.040891,1023.84
0.040924,987.6
0.040958,987.6
0.04099,999.72
0.041024,1000.56
0.041058,1000.56
0.041091,977.52
0.041124,950.28
0.041158,931.2
0.041191,911.76
0.041225,911.76
0.041259,1001.64
0.041291,1018.8
0.041325,1018.8
0.041357,1018.2
0.041394,1012.2
0.041426,1012.2
0.041458,983.76
0.041492,983.76
0.041526,1006.2
0.041559,1006.2
0.041592,962.52
0.041625,958.56
0.041659,957.12
0.041693,918.48
0.041726,918.48
0.041759,1004.52
0.041793,1009.2
0.041826,1009.2
0.04186,962.76
0.041893,962.76
0.041926,964.8
0.04196,977.16
0.041993,984.36
0.042027,1024.08
0.04206,1027.8
0.042093,1039.56
0.042127,1039.56
0.042161,1032.48
0.042194,1032.48
0.042227,1033.92
0.042261,1036.92
0.042294,1036.92
0.042328,982.44
0.04236,976.68
0.042396,976.68
0.042428,993.6
0.042461,993.6
0.042497,993.48
0.042528,961.08
0.042561,961.08
0.042595,1008.36
0.042628,1008.36
0.042661,983.4
0.042695,983.4
0.042728,1017.96
0.042762,1017.96
0.042796,1013.28
0.042828,971.64
0.042862,971.64
